,id,title_of_program,provider,category
241,317,['Алгоритмы и структуры данных (углубленный курс)'],ВШЭ,ML
292,446,,НГУ,ML
246,322,"['The course “Network Science” introduces students to new and actively evolving interdisciplinary field of network science. Started as a study of social networks by sociologists, it attracted attention of physicists, computer scientists, economists, computational biologists, linguists and others and become a truly interdisciplinary field of study. In spite of the variety of processes that form networks, and objects and relationships that serves as nodes and edges in these networks, all networks poses common statistical and structural properties. The interplay between order and disorder creates complex network structures that are the focus of the study. In the course we will consider methods of statistical and structural analysis of the networks, models of network formation and evolution and processes developing on network. Special attention will be given to the hands-on practical analysis and visualization of the real world networks using available software tools and modern programming languages and libraries.']",ВШЭ,ML
255,331,['Машинное обучение и анализ данных'],ВГТУ,ML
8,23,,ННГУ,ML
226,300,,СПБГУ,AR/VR
11,26,,ННГУ,AR/VR
12,32,,ННГУ,AR/VR
128,184,,СПБГУ,AR/VR
167,231,,СПБГУ,AR/VR
241,317,['Алгоритмы и структуры данных (углубленный курс)'],ВШЭ,аналитик данных
167,231,,СПБГУ,аналитик данных
204,274,,СПБГУ,аналитик данных
9,24,,ННГУ,аналитик данных
81,130,,СПБГУ,аналитик данных
241,317,['Алгоритмы и структуры данных (углубленный курс)'],ВШЭ,Специалист по обласным вычислениям и распределенным системам
226,300,,СПБГУ,Специалист по обласным вычислениям и распределенным системам
240,316,,СПБГУ,Специалист по обласным вычислениям и распределенным системам
74,122,,СПБГУ,Специалист по обласным вычислениям и распределенным системам
173,238,,СПБГУ,Специалист по обласным вычислениям и распределенным системам
267,350,,ВГТУ,геймдизайнер
100,152,,СПБГУ,геймдизайнер
226,300,,СПБГУ,геймдизайнер
61,107,,СПБГУ,геймдизайнер
241,317,['Алгоритмы и структуры данных (углубленный курс)'],ВШЭ,геймдизайнер
182,248,,СПБГУ,Образовательный дата-инженер
241,317,['Алгоритмы и структуры данных (углубленный курс)'],ВШЭ,Образовательный дата-инженер
77,126,,СПБГУ,Образовательный дата-инженер
29,74,,СПБГУ,Образовательный дата-инженер
78,127,,СПБГУ,Образовательный дата-инженер
